[DRIVER]: NOR [PRED]: [[1.73]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_864.0-strt_len_min        -0.229416      -0.006747
driverId_1.0-num_med_corners       -0.229416      -0.002157
driverId_842.0-strt_len_min        -0.229416       0.004926
driverId_842.0-num_fast_corners    -0.229416       0.007092
driverId_4.0-num_fast_corners      -0.229416       0.009727
driverId_848.0-num_fast_corners    -0.229416       0.016000
driverId_864.0-num_slow_corners    -0.229416       0.028808
driverId_1.0-strt_len_min          -0.229416       0.040353
driverId_840.0-num_slow_corners    -0.229416       0.063238
driverId_862.0-strt_len_min        -0.229416       0.066944
driverId_4.0-num_slow_corners      -0.229416       0.176074
prev_construct_points_prop          0.238583       0.621467
prev_driver_points_prop            -0.857664       2.038968

[DRIVER]: ALB [PRED]: [[8.9]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_848.0-num_fast_corners     4.358899      -2.675044
prev_construct_points_prop         -0.498612      -0.580390
driverId_848.0-num_slow_corners     4.358899      -0.550616
driverId_807.0-corner_spd_min      -0.229416      -0.142450
driverId_807.0-num_slow_corners    -0.229416      -0.102363
driverId_839.0-strt_len_min        -0.229416      -0.101752
driverId_861.0-num_med_corners     -0.229416      -0.097472
driverId_852.0-num_slow_corners    -0.229416      -0.089554
driverId_807.0-strt_len_min        -0.229416      -0.061198
driverId_839.0-num_slow_corners    -0.229416      -0.049977
driverId_832.0-strt_len_min        -0.229416      -0.046480
driverId_840.0-strt_len_min        -0.229416      -0.044524
driverId_860.0-num_fast_corners    -0.229416      -0.034103
driverId_852.0-strt_len_min        -0.229416      -0.032495
driverId_832.0-strt_len_median     -0.229416      -0.026379
driverId_860.0-strt_len_min        -0.229416      -0.024034
driverId_842.0-num_slow_corners    -0.229416      -0.022370
driverId_840.0-num_fast_corners    -0.229416      -0.011549
driverId_4.0-num_fast_corners      -0.229416      -0.008723
driverId_862.0-num_fast_corners    -0.229416      -0.007701
driverId_852.0-num_fast_corners    -0.229416      -0.002622
driverId_1.0-num_med_corners       -0.229416      -0.002157
driverId_842.0-num_fast_corners    -0.229416       0.003019
driverId_864.0-strt_len_min        -0.229416       0.003072
driverId_864.0-num_fast_corners    -0.229416       0.009767
driverId_842.0-strt_len_min        -0.229416       0.009953
driverId_864.0-num_slow_corners    -0.229416       0.017028
driverId_862.0-strt_len_min        -0.229416       0.039399
driverId_840.0-num_slow_corners    -0.229416       0.081313
driverId_1.0-strt_len_min          -0.229416       0.091869
driverId_4.0-num_slow_corners      -0.229416       0.158131
prev_driver_points_prop            -0.248710       2.974509

[DRIVER]: VER [PRED]: [[6.52]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
prev_driver_points_prop             1.200602      -6.406113
driverId_830.0-num_fast_corners     4.358899      -0.176841
driverId_1.0-num_med_corners       -0.229416      -0.132397
driverId_847.0-num_slow_corners    -0.229416      -0.033842
driverId_844.0-strt_len_min        -0.229416      -0.009547
driverId_1.0-strt_len_min          -0.229416      -0.007584
driverId_846.0-strt_len_min        -0.229416       0.007595
driverId_844.0-num_slow_corners    -0.229416       0.015268
prev_construct_points_prop          0.238583       3.037566

[DRIVER]: ANT [PRED]: [[14.23]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_848.0-num_slow_corners    -0.229416      -0.151454
driverId_807.0-corner_spd_min      -0.229416      -0.127287
driverId_807.0-num_slow_corners    -0.229416      -0.120008
driverId_852.0-num_slow_corners    -0.229416      -0.095093
driverId_839.0-strt_len_min        -0.229416      -0.074966
driverId_832.0-strt_len_min        -0.229416      -0.045788
driverId_807.0-strt_len_min        -0.229416      -0.045721
driverId_839.0-num_slow_corners    -0.229416      -0.045343
driverId_852.0-strt_len_min        -0.229416      -0.040902
driverId_832.0-strt_len_median     -0.229416      -0.028636
driverId_860.0-num_fast_corners    -0.229416      -0.028440
driverId_840.0-strt_len_min        -0.229416      -0.022376
driverId_842.0-num_slow_corners    -0.229416      -0.021341
driverId_4.0-num_fast_corners      -0.229416      -0.017776
