driverId_861.0-num_fast_corners    -0.229416      -0.009066
driverId_860.0-num_fast_corners    -0.229416      -0.002366
driverId_844.0-num_slow_corners    -0.229416      -0.001381
driverId_846.0-strt_len_min        -0.229416       0.001179
driverId_844.0-num_med_corners     -0.229416       0.003311
driverId_830.0-num_fast_corners    -0.229416       0.003963
driverId_1.0-num_fast_corners      -0.229416       0.011711
driverId_861.0-num_med_corners     -0.229416       0.012335
driverId_848.0-strt_len_min        -0.229416       0.019258
driverId_847.0-num_med_corners     -0.229416       0.023273
driverId_4.0-num_fast_corners      -0.229416       0.050372
driverId_1.0-strt_len_min          -0.229416       0.059098
driverId_830.0-num_med_corners     -0.229416       0.071025
driverId_807.0-num_fast_corners    -0.229416       0.072503
driverId_848.0-num_fast_corners    -0.229416       0.083802
driverId_842.0-num_fast_corners    -0.229416       0.085370
driverId_844.0-strt_len_median     -0.229416       0.085608
driverId_840.0-strt_len_min        -0.229416       0.105816
driverId_4.0-num_slow_corners      -0.229416       0.198738
prev_construct_position             0.174078       0.241306
prev_driver_wins                   -0.410152       0.367148

[DRIVER]: GAS [PRED]: [[10.4]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
driverId_842.0-num_fast_corners     4.358899      -3.360388
driverId_842.0-num_slow_corners     4.358899      -1.074478
driverId_859.0-num_fast_corners    -0.229416      -0.125168
driverId_860.0-num_slow_corners    -0.229416      -0.086153
driverId_832.0-strt_len_median     -0.229416      -0.062024
driverId_832.0-strt_len_min        -0.229416      -0.032709
driverId_848.0-num_med_corners     -0.229416      -0.026079
driverId_852.0-strt_len_min        -0.229416      -0.025235
driverId_861.0-strt_len_min        -0.229416      -0.023923
driverId_852.0-num_slow_corners    -0.229416      -0.014266
driverId_839.0-num_slow_corners    -0.229416      -0.012400
driverId_859.0-num_med_corners     -0.229416      -0.011788
driverId_830.0-strt_len_min        -0.229416      -0.004285
driverId_832.0-num_fast_corners    -0.229416      -0.001931
driverId_861.0-num_fast_corners    -0.229416      -0.000806
driverId_846.0-strt_len_min        -0.229416       0.001179
driverId_844.0-num_med_corners     -0.229416       0.008172
driverId_830.0-num_fast_corners    -0.229416       0.012109
driverId_847.0-num_med_corners     -0.229416       0.014068
driverId_861.0-num_med_corners     -0.229416       0.014722
driverId_1.0-num_fast_corners      -0.229416       0.016929
driverId_860.0-num_fast_corners    -0.229416       0.021206
driverId_848.0-strt_len_min        -0.229416       0.026140
driverId_1.0-strt_len_min          -0.229416       0.029997
driverId_830.0-num_med_corners     -0.229416       0.063567
driverId_844.0-strt_len_median     -0.229416       0.075051
driverId_840.0-strt_len_min        -0.229416       0.114063
